Province,City_District,Region_Type,Industry_Type,User_Type,Age_Group,Gender,Year_Month,User_Count,Transaction_Count,Transaction_Amount
Jeju-do,Jeju-si,Rural,Accommodation,Jeju_Resident,50s,M,2018-12,126,173,15627350
Jeju-do,Jeju-si,Rural,Accommodation,Jeju_Resident,40s,F,2018-12,89,124,5899540
Jeju-do,Jeju-si,Rural,Accommodation,Jeju_Resident,40s,M,2018-12,155,225,10676990
Jeju-do,Jeju-si,Rural,Accommodation,Jeju_Resident,30s,F,2018-12,81,123,4549300
Jeju-do,Jeju-si,Rural,Accommodation,Jeju_Resident,30s,M,2018-12,144,228,12784232
Jeju-do,Jeju-si,Rural,Accommodation,Jeju_Resident,Under_20,F,2018-12,2,2,180000
Jeju-do,Jeju-si,Rural,Accommodation,Jeju_Resident,Under_20,M,2018-12,3,4,237500
Jeju-do,Jeju-si,Rural,Accommodation,Jeju_Resident,20s,F,2018-12,70,90,4288640
Jeju-do,Jeju-si,Rural,Accommodation,Jeju_Resident,20s,M,2018-12,95,115,4889050
Jeju-do,Jeju-si,Rural,Accommodation,Domestic_Tourist,60s_and_above,F,2018-12,94,129,12809940
Jeju-do,Jeju-si,Rural,Accommodation,Domestic_Tourist,60s_and_above,M,2018-12,191,279,26505163
Jeju-do,Jeju-si,Rural,Accommodation,Domestic_Tourist,50s,F,2018-12,307,367,33190942
Jeju-do,Jeju-si,Rural,Accommodation,Domestic_Tourist,50s,M,2018-12,493,665,72294220
Jeju-do,Jeju-si,Rural,Accommodation,Domestic_Tourist,40s,F,2018-12,397,503,41856976
Jeju-do,Jeju-si,Rural,Accommodation,Domestic_Tourist,40s,M,2018-12,563,744,67920126
Jeju-do,Jeju-si,Rural,Accommodation,Domestic_Tourist,30s,F,2018-12,510,617,51997841
Jeju-do,Jeju-si,Rural,Accommodation,Domestic_Tourist,30s,M,2018-12,479,673,50017075
Jeju-do,Jeju-si,Rural,Accommodation,Domestic_Tourist,Under_20,F,2018-12,7,9,113220
Jeju-do,Jeju-si,Rural,Accommodation,Domestic_Tourist,Under_20,M,2018-12,18,23,1438600
Jeju-do,Jeju-si,Rural,Accommodation,Domestic_Tourist,20s,F,2018-12,374,417,22011699
Jeju-do,Jeju-si,Rural,Accommodation,Domestic_Tourist,20s,M,2018-12,292,351,20634113
Jeju-do,Jeju-si,Rural,Shopping,Jeju_Resident,60s_and_above,F,2018-12,1582,5203,206633645
Jeju-do,Jeju-si,Rural,Shopping,Jeju_Resident,60s_and_above,M,2018-12,2788,9280,325061286
Jeju-do,Jeju-si,Rural,Shopping,Jeju_Resident,50s,F,2018-12,2858,9611,334957857
Jeju-do,Jeju-si,Rural,Shopping,Jeju_Resident,50s,M,2018-12,4703,16323,380996152
Jeju-do,Jeju-si,Rural,Shopping,Jeju_Resident,40s,F,2018-12,3648,12876,306738635
Jeju-do,Jeju-si,Rural,Shopping,Jeju_Resident,40s,M,2018-12,6228,22235,397200573
